Parameter,Sensitivity (%),Abs_Change_K_for_+10%,T_peak_+10%,T_peak_-10%
T_E,51.23411991496559,22.368256509044954,455.928330032111,411.50219243766685
Q_B_total,15.157742308787384,6.454418273964961,440.014491797031,426.8709080573479
Q_ESC,6.609894172818337,2.8514891817115995,436.4115627047776,430.679990297684
A_Bf_conv,-2.4447576260474246,-1.0114939111626882,432.54857961190334,434.66847820409373
A_mount_conv,-0.6354625909588437,-0.2698054955304201,433.2902680275356,433.84129044285015
A_ESC_conv,-0.4874970945579285,-0.20638793431402291,433.353685588752,433.77640414106963
k_eff,-0.29026920715017585,-0.1235265003849122,433.4365470226811,433.68824530026814
L_path_Mount_Bf,-0.22849278083912544,-0.09580925350161351,433.4642642695644,433.6623949632846
A_contact_Mount_Bf,0.22845966466152967,0.09258158292135477,433.6526551059874,433.45455312797196
k_mount,0.15388224955587,0.07519287120317131,433.6352663942692,433.5018319954065
L_path_ESC_Mount,0.06213539434581419,0.01637137936927502,433.5764449024353,433.5225660501534
A_contact_ESC_Mount,-0.061095141951931435,-0.034045115191474906,433.52602840787455,433.5790052363477
k_cfrp,-0.02199645118685588,-0.008583082495022154,433.551490440571,433.57056400655864
