Node,Target,Heat_Flow_W,Gain_Loss,h_Coefficient,Area_m2,Temp_Difference_K,Flow_Type
Batt_BF_Top,Internal_air,1.2942703121665438,Gain,2.0718402425604516,0.20823199999999997,3.0,Natural
Batt_BF_Bot,Internal_air,1.2942703121665438,Gain,2.0718402425604516,0.20823199999999997,3.0,Natural
Batt_BM_Top,Internal_air,1.2942703121665438,Gain,2.0718402425604516,0.20823199999999997,3.0,Natural
Batt_BM_Bot,Internal_air,1.2942703121665438,Gain,2.0718402425604516,0.20823199999999997,3.0,Natural
Batt_BR_Top,Internal_air,1.2942703121665438,Gain,2.0718402425604516,0.20823199999999997,3.0,Natural
Batt_BR_Bot,Internal_air,1.2942703121665438,Gain,2.0718402425604516,0.20823199999999997,3.0,Natural
ESC,Internal_air,-4.556283373629058,Loss,6.637338583481131,0.009534200000000001,-72.0,Natural
ESC_Mount,Internal_air,0.08120016738000002,Gain,0.501687119518678,0.053951400000000004,3.0,Natural
BH_1,Internal_air,0.47434415711392386,Gain,2.325216456440803,0.068,3.0,Natural
BH_2,Internal_air,0.47434415711392386,Gain,2.325216456440803,0.068,3.0,Natural
BH_3,Internal_air,0.47434415711392386,Gain,2.325216456440803,0.068,3.0,Natural
BH_4,Internal_air,0.47434415711392386,Gain,2.325216456440803,0.068,3.0,Natural
plateT,Internal_air,1.8663601204005695,Gain,1.5105867330359442,0.41184,3.0,Natural
plateM,Internal_air,1.01366412133644,Gain,1.5105867330359442,0.22368,3.0,Natural
plateB,Internal_air,1.8663601204005695,Gain,1.5105867330359442,0.41184,3.0,Natural
Top_Shell_Int,Internal_air,2.1121879966403023,Gain,1.299008608019866,0.542,3.0,Natural
Top_Shell_Ext,Ambient,-152.8388444043316,Loss,12.422488450699129,0.542,-22.69999999999999,External
Bot_Shell_Int,Internal_air,2.1121879966403023,Gain,1.299008608019866,0.542,3.0,Natural
Bot_Shell_Ext,Ambient,-152.8388444043316,Loss,12.422488450699129,0.542,-22.69999999999999,External
Internal_air,,0.0,None,0.0,0.0,0.0,None
