,Batt_BF_Top,Batt_BF_Bot,Batt_BM_Top,Batt_BM_Bot,Batt_BR_Top,Batt_BR_Bot,ESC,ESC_Mount,BH_1,BH_2,BH_3,BH_4,plateT,plateM,plateB,Top_Shell_Int,Top_Shell_Ext,Bot_Shell_Int,Bot_Shell_Ext,Internal_air
Batt_BF_Top,0.0,0.0,0.0,0.0,0.0,0.0,5.5760343832383965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batt_BF_Bot,0.0,0.0,0.0,0.0,0.0,0.0,5.5760343832383965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batt_BM_Top,0.0,0.0,0.0,0.0,0.0,0.0,5.5760343832383965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batt_BM_Bot,0.0,0.0,0.0,0.0,0.0,0.0,5.5760343832383965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batt_BR_Top,0.0,0.0,0.0,0.0,0.0,0.0,5.5760343832383965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batt_BR_Bot,0.0,0.0,0.0,0.0,0.0,0.0,5.5760343832383965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESC_Mount,0.0,0.0,0.0,0.0,0.0,0.0,489.97499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BH_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BH_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BH_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BH_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plateT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plateM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plateB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Top_Shell_Int,0.5755268196767299,0.0,0.5755268196767299,0.0,0.5755268196767299,0.0,5.784822084236888,0.0,0.005616000000000001,0.005616000000000001,0.005616000000000001,0.005616000000000001,3.134147519710679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Top_Shell_Ext,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6504,0.0,0.0,0.0,0.0
Bot_Shell_Int,0.0,0.5755268196767299,0.0,0.5755268196767299,0.0,0.5755268196767299,0.0,0.808304590653588,0.005616000000000001,0.005616000000000001,0.005616000000000001,0.005616000000000001,0.0,0.0,3.134147519710679,0.0,0.0,0.0,0.0,0.0
Bot_Shell_Ext,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6504,0.0,0.0
Internal_air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
