From_Node,To_Node,Heat_Flow_W,Transfer_Mode,Thermal_Resistance,Temp_Difference_K,Thermal_Conductance
ESC,ESC_Mount,-489.97499999999997,Conduction,0.15306903413439463,-75.0,6.5329999999999995
Top_Shell_Int,Top_Shell_Ext,-0.6504,Conduction,3.075030750307503,-2.0,0.3252
Bot_Shell_Int,Bot_Shell_Ext,-0.6504,Conduction,3.075030750307503,-2.0,0.3252
Batt_BF_Top,Internal_air,1.2942703121665438,Convection_Natural,2.317908378025105,3.0,0.4314234373888479
Batt_BF_Bot,Internal_air,1.2942703121665438,Convection_Natural,2.317908378025105,3.0,0.4314234373888479
Batt_BM_Top,Internal_air,1.2942703121665438,Convection_Natural,2.317908378025105,3.0,0.4314234373888479
Batt_BM_Bot,Internal_air,1.2942703121665438,Convection_Natural,2.317908378025105,3.0,0.4314234373888479
Batt_BR_Top,Internal_air,1.2942703121665438,Convection_Natural,2.317908378025105,3.0,0.4314234373888479
Batt_BR_Bot,Internal_air,1.2942703121665438,Convection_Natural,2.317908378025105,3.0,0.4314234373888479
ESC,Internal_air,-4.556283373629058,Convection_Natural,15.802353386692966,-72.0,0.06328171352262581
BH_1,Internal_air,0.47434415711392386,Convection_Natural,6.3245218793313525,3.0,0.1581147190379746
BH_2,Internal_air,0.47434415711392386,Convection_Natural,6.3245218793313525,3.0,0.1581147190379746
BH_3,Internal_air,0.47434415711392386,Convection_Natural,6.3245218793313525,3.0,0.1581147190379746
BH_4,Internal_air,0.47434415711392386,Convection_Natural,6.3245218793313525,3.0,0.1581147190379746
plateT,Internal_air,1.8663601204005695,Convection_Natural,1.6074068274434206,3.0,0.6221200401335232
plateM,Internal_air,1.01366412133644,Convection_Natural,2.959560210185525,3.0,0.33788804044548
plateB,Internal_air,1.8663601204005695,Convection_Natural,1.6074068274434206,3.0,0.6221200401335232
Top_Shell_Int,Internal_air,5.030385790789424,Convection_Natural,1.192751460730095,6.0,0.8383976317982373
Top_Shell_Ext,Ambient,-152.8388444043316,Convection_External,0.14852245244636675,-22.69999999999999,6.7329887402789295
Bot_Shell_Int,Internal_air,5.030385790789424,Convection_Natural,1.192751460730095,6.0,0.8383976317982373
Bot_Shell_Ext,Ambient,-152.8388444043316,Convection_External,0.14852245244636675,-22.69999999999999,6.7329887402789295
