From_Node,To_Node,Heat_Flow_W,Radiation_Coeff,T1_K,T2_K,T1_4th_Power,T2_4th_Power,Direction,Magnitude_W
ESC,Top_Shell_Int,-5.784822084236888,4.235310252813923e-10,390.0,312.0,23134410000.0,9475854336.0,FROM,5.784822084236888
Batt_BM_Top,ESC,5.5760343832383965,4.1960376026828184e-10,315.0,390.0,9845600625.0,23134410000.0,TO,5.5760343832383965
Batt_BM_Bot,ESC,5.5760343832383965,4.1960376026828184e-10,315.0,390.0,9845600625.0,23134410000.0,TO,5.5760343832383965
Batt_BF_Bot,ESC,5.5760343832383965,4.1960376026828184e-10,315.0,390.0,9845600625.0,23134410000.0,TO,5.5760343832383965
Batt_BF_Top,ESC,5.5760343832383965,4.1960376026828184e-10,315.0,390.0,9845600625.0,23134410000.0,TO,5.5760343832383965
Batt_BR_Bot,ESC,5.5760343832383965,4.1960376026828184e-10,315.0,390.0,9845600625.0,23134410000.0,TO,5.5760343832383965
Batt_BR_Top,ESC,5.5760343832383965,4.1960376026828184e-10,315.0,390.0,9845600625.0,23134410000.0,TO,5.5760343832383965
plateT,Top_Shell_Int,-3.134147519710679,8.476481341265548e-09,315.0,312.0,9845600625.0,9475854336.0,FROM,3.134147519710679
plateB,Bot_Shell_Int,-3.134147519710679,8.476481341265548e-09,315.0,312.0,9845600625.0,9475854336.0,FROM,3.134147519710679
ESC_Mount,Bot_Shell_Int,-0.808304590653588,2.1861060264856044e-09,315.0,312.0,9845600625.0,9475854336.0,FROM,0.808304590653588
Batt_BR_Top,Top_Shell_Int,-0.5755268196767299,1.556545222491009e-09,315.0,312.0,9845600625.0,9475854336.0,FROM,0.5755268196767299
Batt_BF_Top,Top_Shell_Int,-0.5755268196767299,1.556545222491009e-09,315.0,312.0,9845600625.0,9475854336.0,FROM,0.5755268196767299
Batt_BM_Top,Top_Shell_Int,-0.5755268196767299,1.556545222491009e-09,315.0,312.0,9845600625.0,9475854336.0,FROM,0.5755268196767299
Batt_BR_Bot,Bot_Shell_Int,-0.5755268196767299,1.556545222491009e-09,315.0,312.0,9845600625.0,9475854336.0,FROM,0.5755268196767299
Batt_BM_Bot,Bot_Shell_Int,-0.5755268196767299,1.556545222491009e-09,315.0,312.0,9845600625.0,9475854336.0,FROM,0.5755268196767299
Batt_BF_Bot,Bot_Shell_Int,-0.5755268196767299,1.556545222491009e-09,315.0,312.0,9845600625.0,9475854336.0,FROM,0.5755268196767299
Batt_BF_Top,Batt_BM_Top,0.0,1.2820591636363635e-09,315.0,315.0,9845600625.0,9845600625.0,FROM,0.0
Batt_BM_Bot,Batt_BR_Bot,0.0,1.2820591636363635e-09,315.0,315.0,9845600625.0,9845600625.0,FROM,0.0
Batt_BM_Top,Batt_BR_Top,0.0,1.2820591636363635e-09,315.0,315.0,9845600625.0,9845600625.0,FROM,0.0
Batt_BF_Bot,Batt_BM_Bot,0.0,1.2820591636363635e-09,315.0,315.0,9845600625.0,9845600625.0,FROM,0.0
Top_Shell_Int,Bot_Shell_Int,0.0,6.14628e-09,312.0,312.0,9475854336.0,9475854336.0,FROM,0.0
