Parameter,Direction,Metric,Baseline_Value,Perturbed_Value,Temperature_Change_K,Temperature_Change_Pct,Parameter_Change_Pct,Sensitivity,Abs_Sensitivity
Q_batt_zone,positive,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,5.0,0.0,0.0
Q_batt_zone,positive,max_esc_temp,396.70169271945116,396.7016927194511,-5.684341886080802e-14,-1.4329008396999172e-14,5.0,-2.8658016793998345e-15,2.8658016793998345e-15
Q_batt_zone,positive,max_system_temp,396.70169271945116,396.7016927194511,-5.684341886080802e-14,-1.4329008396999172e-14,5.0,-2.8658016793998345e-15,2.8658016793998345e-15
Q_batt_zone,negative,max_battery_temp,315.93751800605236,315.76069004579193,-0.17682796026042524,-0.0559692819568956,-5.0,0.011193856391379119,0.011193856391379119
Q_batt_zone,negative,max_esc_temp,396.70169271945116,396.6139226755005,-0.08777004395068388,-0.022124948181845842,-5.0,0.004424989636369168,0.004424989636369168
Q_batt_zone,negative,max_system_temp,396.70169271945116,396.6139226755005,-0.08777004395068388,-0.022124948181845842,-5.0,0.004424989636369168,0.004424989636369168
Q_ESC,positive,max_battery_temp,315.93751800605236,316.8580475425684,0.9205295365160282,0.2913644262086005,5.0,0.05827288524172009,0.05827288524172009
Q_ESC,positive,max_esc_temp,396.70169271945116,400.6409131466072,3.9392204271560445,0.9929930976981929,5.0,0.1985986195396386,0.1985986195396386
Q_ESC,positive,max_system_temp,396.70169271945116,400.6409131466072,3.9392204271560445,0.9929930976981929,5.0,0.1985986195396386,0.1985986195396386
Q_ESC,negative,max_battery_temp,315.93751800605236,315.00655914223773,-0.9309588638146238,-0.2946654989537487,-5.0,0.05893309979074974,0.05893309979074974
Q_ESC,negative,max_esc_temp,396.70169271945116,392.6893328557945,-4.012359863656684,-1.0114299831067872,-5.0,0.20228599662135743,0.20228599662135743
Q_ESC,negative,max_system_temp,396.70169271945116,392.6893328557945,-4.012359863656684,-1.0114299831067872,-5.0,0.20228599662135743,0.20228599662135743
k_eff_batt,positive,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,5.0,0.0,0.0
k_eff_batt,positive,max_esc_temp,396.70169271945116,396.70169271945116,0.0,0.0,5.0,0.0,0.0
k_eff_batt,positive,max_system_temp,396.70169271945116,396.70169271945116,0.0,0.0,5.0,0.0,0.0
k_eff_batt,negative,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,-5.0,-0.0,0.0
k_eff_batt,negative,max_esc_temp,396.70169271945116,396.70169271945116,0.0,0.0,-5.0,-0.0,0.0
k_eff_batt,negative,max_system_temp,396.70169271945116,396.70169271945116,0.0,0.0,-5.0,-0.0,0.0
k_cfrp,positive,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,5.0,0.0,0.0
k_cfrp,positive,max_esc_temp,396.70169271945116,396.70169271945116,0.0,0.0,5.0,0.0,0.0
