,,Abs_Sensitivity,Abs_Sensitivity,Temperature_Change_K,Temperature_Change_K
,,mean,max,mean,std
Parameter,Metric,,,,
A_conv_batt_top,max_battery_temp,0.0001,0.0001,-0.0,0.0016
A_conv_batt_top,max_esc_temp,0.0,0.0,0.0,0.0006
A_conv_batt_top,max_system_temp,0.0,0.0,0.0,0.0006
A_conv_esc_top,max_battery_temp,0.0001,0.0001,-0.0,0.0012
A_conv_esc_top,max_esc_temp,0.0009,0.0009,0.0,0.0244
A_conv_esc_top,max_system_temp,0.0009,0.0009,0.0,0.0244
Q_ESC,max_battery_temp,0.0586,0.0589,-0.0052,1.3092
Q_ESC,max_esc_temp,0.2004,0.2023,-0.0366,5.6226
Q_ESC,max_system_temp,0.2004,0.2023,-0.0366,5.6226
Q_batt_zone,max_battery_temp,0.0056,0.0112,-0.0884,0.125
Q_batt_zone,max_esc_temp,0.0022,0.0044,-0.0439,0.0621
Q_batt_zone,max_system_temp,0.0022,0.0044,-0.0439,0.0621
initial_temp_K,max_battery_temp,0.0,0.0,0.0,0.0
initial_temp_K,max_esc_temp,0.0,0.0,0.0,0.0
initial_temp_K,max_system_temp,0.0,0.0,0.0,0.0
k_bulkhead,max_battery_temp,0.0,0.0,0.0,0.0
k_bulkhead,max_esc_temp,0.0,0.0,0.0,0.0
k_bulkhead,max_system_temp,0.0,0.0,0.0,0.0
k_cfrp,max_battery_temp,0.0,0.0,0.0,0.0
k_cfrp,max_esc_temp,0.0,0.0,0.0,0.0
k_cfrp,max_system_temp,0.0,0.0,0.0,0.0
k_eff_batt,max_battery_temp,0.0,0.0,0.0,0.0
k_eff_batt,max_esc_temp,0.0,0.0,0.0,0.0
k_eff_batt,max_system_temp,0.0,0.0,0.0,0.0
k_mount,max_battery_temp,0.0,0.0,0.0,0.0
k_mount,max_esc_temp,0.0,0.0,0.0,0.0
k_mount,max_system_temp,0.0,0.0,0.0,0.0
k_plate,max_battery_temp,0.0,0.0,0.0,0.0
k_plate,max_esc_temp,0.0,0.0,0.0,0.0
k_plate,max_system_temp,0.0,0.0,0.0,0.0
