From_Node,To_Node,Heat_Flow_W,Transfer_Mode,Thermal_Resistance,Temp_Difference_K
ESC_Mount,Bot_Shell_Int,-12.090031289920256,Radiation,457434354.91443443,-38.0
ESC,Top_Shell_Int,-5.784822084236888,Radiation,2361102116.038852,-78.0
Batt_BF_Top,ESC,5.307421102317403,Radiation,2383200759.1176744,70.0
Batt_BF_Bot,ESC,5.307421102317403,Radiation,2383200759.1176744,70.0
Batt_BM_Top,ESC,5.307421102317403,Radiation,2383200759.1176744,70.0
Batt_BR_Bot,ESC,5.307421102317403,Radiation,2383200759.1176744,70.0
Batt_BR_Top,ESC,5.307421102317403,Radiation,2383200759.1176744,70.0
Batt_BM_Bot,ESC,5.307421102317403,Radiation,2383200759.1176744,70.0
ESC,Internal_air,-4.556283373629058,Convection_Natural,15.802353386692966,-72.0
plateT,Top_Shell_Int,-3.134147519710679,Radiation,117973479.76592124,-3.0
plateB,Bot_Shell_Int,-3.134147519710679,Radiation,117973479.76592124,-3.0
Batt_BF_Top,Top_Shell_Int,-1.5719638364658102,Radiation,642448407.8911984,-8.0
Batt_BM_Top,Top_Shell_Int,-1.5719638364658102,Radiation,642448407.8911984,-8.0
Batt_BR_Top,Top_Shell_Int,-1.5719638364658102,Radiation,642448407.8911984,-8.0
Batt_BR_Bot,Bot_Shell_Int,-1.5719638364658102,Radiation,642448407.8911984,-8.0
Batt_BF_Bot,Bot_Shell_Int,-1.5719638364658102,Radiation,642448407.8911984,-8.0
Batt_BM_Bot,Bot_Shell_Int,-1.5719638364658102,Radiation,642448407.8911984,-8.0
